grade,gpa,chronicly_absent,days_absent,act_taken,read_scale,writing_scale,math_scale,female,white,special_ed,plan_504,free_and_reduced,gifted
10,3.731,0,6.18,1,647,634,664,0,1,0,0,0,0
10,2.897,0,5.13,0,678,634,582,0,1,0,0,0,0
10,2.887,0,2.69,1,548,585,559,1,1,0,0,0,0
10,3.979,0,0.64,1,647,670,664,0,1,0,0,0,0
10,3.849,0,6.28,0,633,648,664,1,1,0,0,0,0
10,3.564,0,5.88,0,598,613,607,1,1,0,0,0,1
10,3.232,0,10.35,1,598,620,607,1,1,0,0,0,0
10,3.534,0,0,1,609,613,688,0,1,0,0,0,0
10,2.703,0,11.92,0,539,543,552,1,1,0,1,0,0
10,3.732,0,3.81,0,647,620,735,0,1,0,0,0,0
10,4,0,9.12,1,700,655,735,0,1,0,0,0,1
10,3.38,0,10.79,1,587,634,654,1,1,0,0,0,0
10,3.624,0,3.9,0,621,620,676,0,1,0,0,0,0
10,2.372,0,8.17,0,513,564,509,0,1,0,0,0,0
10,3.155,0,8.05,0,577,620,615,1,1,0,0,0,0
10,3.921,0,9.26,1,647,620,688,0,1,0,0,0,1
10,3.661,0,11.05,0,661,585,567,0,1,0,0,0,0
10,3.431,0,11.29,0,647,662,664,1,0,0,0,0,1
10,3.813,0,2.47,0,678,655,590,1,1,0,0,0,0
10,3.775,0,0.88,1,598,592,688,0,1,0,0,0,1
11,4,0,2.66,1,705,691,800,1,1,0,0,0,0
10,3.856,0,6.61,0,780,634,688,0,1,0,0,0,0
11,2.961,0,2.3,0,614,569,648,0,1,0,0,0,0
9,3.878,0,0,0,592,577,596,1,1,0,0,0,1
9,3.913,0,14.15,0,579,601,606,1,1,0,0,0,0
10,2.565,0,6.71,0,609,543,664,0,1,0,1,1,0
10,3.333,0,0.89,0,647,627,590,0,0,0,0,0,0
10,2.554,0,5.94,0,577,592,634,0,0,0,0,0,0
10,2.531,0,1.27,0,557,585,516,0,1,1,0,0,0
10,2.223,0,3.8,0,598,571,567,0,1,0,0,0,0
11,2.508,0,17.03,0,648,648,559,1,0,0,0,1,0
10,3.792,0,1.88,1,633,680,676,0,1,0,0,0,1
10,3.63,0,11.15,0,539,599,598,1,1,0,0,0,1
10,3.766,0,9.74,0,621,613,634,1,1,0,0,0,0
10,4,0,0.12,0,621,634,654,1,0,0,0,1,0
9,2.466,0,10.7,0,557,657,552,1,1,0,0,0,0
10,3.621,0,4.33,0,598,641,590,1,1,0,0,0,0
9,3.492,0,6.45,0,547,617,596,0,1,0,0,0,0
11,3.951,0,1.79,1,648,669,690,1,0,0,0,0,0
9,3.965,0,4.9,0,635,625,711,0,0,0,0,0,0
9,3.422,0,3.81,0,579,537,626,1,1,0,0,0,0
9,3.385,0,8.58,0,557,601,626,1,1,0,0,0,0
9,4,0,1.13,0,750,657,677,0,1,0,0,0,1
10,2.7,0,5.08,0,577,585,537,0,1,0,0,1,0
9,3.843,0,1.87,0,605,649,650,0,0,0,0,0,1
9,4,0,0.73,0,660,585,638,0,1,0,0,0,0
9,3.913,0,0.02,0,579,553,596,0,1,0,0,0,0
9,3.955,0,4.22,0,660,601,693,0,0,0,0,0,1
10,3.355,0,9.87,0,700,620,688,1,1,0,0,0,1
9,3.316,0,5.84,0,695,641,650,0,1,0,1,0,0
11,4,0,1.67,1,705,700,800,0,0,0,0,0,0
10,3.225,0,3.23,1,587,585,567,1,1,0,0,0,0
11,3.912,0,0.89,1,662,669,708,1,0,0,0,0,0
11,3.955,0,1.01,1,566,662,708,1,0,0,0,0,0
10,3.08,0,1.72,1,678,620,634,0,1,0,0,0,0
9,3.894,0,3.03,0,619,609,736,0,0,0,0,0,0
9,3.896,0,1.35,0,592,553,616,1,1,0,0,0,0
9,3.404,0,10.33,0,605,617,650,0,1,0,0,0,0
11,3.603,0,1.6,1,636,655,800,0,1,0,0,0,1
9,3.114,0,5.58,0,500,537,462,1,1,0,0,0,0
9,2.122,0,13.59,0,547,577,544,0,1,0,0,0,0
9,3.587,0,2.83,0,592,497,561,0,1,1,0,0,0
9,2.317,0,14.34,0,568,625,521,1,0,0,0,0,0
9,3.008,0,1.88,0,605,569,587,0,1,0,0,0,0
9,3.772,0,3.55,0,579,617,650,1,1,0,0,0,0
9,3.176,0,1.96,0,518,561,578,0,1,0,0,0,0
9,2.963,1,19.32,0,500,577,544,1,1,0,0,0,0
9,1.917,1,41.89,0,527,521,498,1,1,0,0,1,0
9,3.359,0,15.15,0,592,625,616,1,1,0,0,0,0
9,2.448,0,10.05,0,500,553,544,1,1,0,0,0,0
9,3.755,0,5.96,0,579,593,606,1,1,0,0,0,0
9,3.228,0,4.13,0,568,577,606,0,1,0,0,0,0
9,3.088,0,2.41,0,605,609,569,0,1,0,0,0,0
9,3.719,0,7.38,0,619,609,638,0,1,0,0,0,0
9,3.817,0,5.56,0,568,625,638,0,1,0,0,0,0
9,3.667,0,1.64,0,605,553,569,1,1,0,0,0,0
9,2.166,0,2.1,0,568,617,536,0,1,0,0,0,0
9,2.913,0,1.06,0,568,577,513,1,1,0,0,0,0
9,3.272,0,4.02,0,557,545,587,1,1,0,0,0,0
9,2.254,0,11.97,0,579,545,606,1,1,0,0,1,0
9,2.983,0,2.73,0,518,585,544,0,1,0,0,0,1
10,3.824,0,5.54,1,700,722,688,0,1,0,0,1,1
9,3.474,0,8.57,0,557,577,662,0,1,0,0,0,0
9,3.421,0,3.36,1,579,609,536,1,0,0,0,0,0
9,3.965,0,7.84,0,605,641,693,1,1,0,0,0,0
11,2.938,0,10.54,0,593,619,590,1,1,0,0,1,0
10,3.624,0,0.43,1,647,648,624,0,1,0,0,0,1
9,2.552,0,4.49,0,527,521,536,0,0,0,0,0,0
9,3.736,0,3.73,0,635,593,596,0,1,0,0,0,0
10,3.888,0,4.33,1,621,585,664,1,1,0,0,0,0
9,3.983,0,4.2,0,660,625,662,1,1,0,1,0,0
9,3.501,0,10.53,0,619,553,616,0,1,0,0,0,0
8,3.745,0,0.84,0,601,625,614,0,1,0,0,0,1
11,3.554,0,6.45,1,648,669,765,1,1,0,0,0,0
9,3.255,0,2.09,0,547,601,513,1,1,0,0,0,0
10,2.213,0,6.31,0,609,515,544,0,1,0,0,0,0
9,3.571,0,8.31,0,660,593,650,1,1,0,0,0,1
9,3.141,0,6.75,0,537,545,578,0,1,0,0,0,0
10,2.92,0,13.99,0,587,543,516,0,1,0,1,1,0
9,3.955,0,8.56,1,660,601,606,1,1,0,0,0,0
9,2.712,0,2.35,0,518,457,513,0,0,1,0,0,0
9,3.737,0,4.48,0,619,633,638,0,1,0,0,0,0
9,3.176,0,0.36,0,547,561,552,1,1,0,0,1,0
9,2.596,0,0.1,0,605,593,616,0,1,0,0,0,0
9,3.719,0,3.91,0,579,593,616,0,1,0,0,0,0
9,4,0,0.82,0,660,601,711,1,1,0,0,0,1
9,2.557,1,20.69,0,592,561,616,0,1,0,0,1,0
11,3.69,0,0,0,624,619,617,1,1,0,0,1,0
11,3.409,0,1.71,1,636,677,665,0,1,0,0,0,0
11,3.039,0,4.92,1,593,633,625,1,1,0,1,0,0
11,2.738,0,3.1,1,566,576,648,1,1,0,0,0,0
9,3.202,0,6.2,0,592,561,544,1,1,0,0,0,0
9,0.991,0,10.93,0,500,537,569,1,1,0,0,1,0
9,1.676,1,30.38,0,527,585,544,1,1,0,0,1,0
9,3.473,0,2.75,0,592,569,578,1,1,0,0,0,0
9,3.438,0,4.16,0,500,569,536,1,1,0,0,0,0
9,2.921,0,12.55,0,482,569,544,1,1,0,1,0,0
9,2.658,0,6.65,0,509,545,473,1,1,0,0,0,0
9,3.211,0,12.06,0,527,489,606,0,1,0,0,0,0
9,2.622,1,26.01,0,619,529,536,0,1,0,0,1,0
9,3.983,0,8.83,0,619,609,650,1,1,0,0,0,1
9,4,0,2.94,0,619,641,662,1,1,0,0,0,1
